date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:01:55	7052/7052	---M-Z	200	added ('OK')	text/css	etag:W/%22646c8c24-1b8c%22	https://vihaan.ieeedtu.in/fonts/et-line-font/style.css	D:/Port/vihaan.ieeedtu.in/fonts/et-line-font/style.css	(from https://vihaan.ieeedtu.in/css/style.css)
19:01:55	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-247b%22	https://vihaan.ieeedtu.in/images/dotted.png	D:/Port/vihaan.ieeedtu.in/images/dotted.png	(from https://vihaan.ieeedtu.in/css/style.css)
19:01:56	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-247b%22	https://vihaan.ieeedtu.in/images/icon-slide-plus.png	D:/Port/vihaan.ieeedtu.in/images/icon-slide-plus.png	(from https://vihaan.ieeedtu.in/css/style.css)
19:01:56	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-247b%22	https://vihaan.ieeedtu.in/images/icon-slide-min.png	D:/Port/vihaan.ieeedtu.in/images/icon-slide-min.png	(from https://vihaan.ieeedtu.in/css/style.css)
19:01:57	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-247b%22	https://vihaan.ieeedtu.in/images/close.png	D:/Port/vihaan.ieeedtu.in/images/close.png	(from https://vihaan.ieeedtu.in/css/style.css)
19:01:57	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-247b%22	https://vihaan.ieeedtu.in/images/close-2.png	D:/Port/vihaan.ieeedtu.in/images/close-2.png	(from https://vihaan.ieeedtu.in/css/style.css)
19:01:58	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-247b%22	https://vihaan.ieeedtu.in/images/icon-url.png	D:/Port/vihaan.ieeedtu.in/images/icon-url.png	(from https://vihaan.ieeedtu.in/css/style.css)
19:01:58	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-247b%22	https://vihaan.ieeedtu.in/images/icon-zoom.png	D:/Port/vihaan.ieeedtu.in/images/icon-zoom.png	(from https://vihaan.ieeedtu.in/css/style.css)
19:01:58	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-247b%22	https://vihaan.ieeedtu.in/images/list-arrow.png	D:/Port/vihaan.ieeedtu.in/images/list-arrow.png	(from https://vihaan.ieeedtu.in/css/style.css)
19:01:59	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-247b%22	https://vihaan.ieeedtu.in/images/page-loader.gif	D:/Port/vihaan.ieeedtu.in/images/page-loader.gif	(from https://vihaan.ieeedtu.in/css/style.css)
19:01:59	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-247b%22	https://vihaan.ieeedtu.in/images/arrow-down.png	D:/Port/vihaan.ieeedtu.in/images/arrow-down.png	(from https://vihaan.ieeedtu.in/css/style.css)
19:01:59	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-247b%22	https://vihaan.ieeedtu.in/images/ui/arrow-down.png	D:/Port/vihaan.ieeedtu.in/images/ui/arrow-down.png	(from https://vihaan.ieeedtu.in/css/style.css)
19:02:00	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-247b%22	https://vihaan.ieeedtu.in/images/ui/arrow-down-invert.png	D:/Port/vihaan.ieeedtu.in/images/ui/arrow-down-invert.png	(from https://vihaan.ieeedtu.in/css/style.css)
19:02:00	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-247b%22	https://vihaan.ieeedtu.in/images/ui/arrow-up.png	D:/Port/vihaan.ieeedtu.in/images/ui/arrow-up.png	(from https://vihaan.ieeedtu.in/css/style.css)
19:02:00	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-247b%22	https://vihaan.ieeedtu.in/images/ui/arrow-up-invert.png	D:/Port/vihaan.ieeedtu.in/images/ui/arrow-up-invert.png	(from https://vihaan.ieeedtu.in/css/style.css)
19:02:01	12136/12136	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22646c8c25-2f68%22	https://vihaan.ieeedtu.in/revolution/fonts/revicons/revicons.eot?5510888	D:/Port/vihaan.ieeedtu.in/revolution/fonts/revicons/revicons90c6.eot	(from https://vihaan.ieeedtu.in/revolution/css/settings.css)
19:02:01	7536/7536	---M--	200	added ('OK')	font/woff	etag:%22646c8c25-1d70%22	https://vihaan.ieeedtu.in/revolution/fonts/revicons/revicons.woff?5510888	D:/Port/vihaan.ieeedtu.in/revolution/fonts/revicons/revicons90c6.woff	(from https://vihaan.ieeedtu.in/revolution/css/settings.css)
